Words,Counts
of,43
the,39
and,24
a,20
to,20
be,18
will,15
freedom,13
from,12
let,11
in,11
with,10
one,10
this,9
every,9
we,9
ring,9
i,9
day,8
able,8
that,8
dream,7
have,7
is,6
negro,6
when,5
"together,",5
years,5
free,4
shall,4
mountain,4
at,4
hundred,3
my,3
new,3
not,3
made,3
down,3
our,3
"later,",3
great,3
still,3
faith,3
state,3
last.,3
land,3
their,3
it,3
little,3
black,3
but,3
all,3
by,3
as,3
white,3
hands,2
up,2
"mountainside,",2
slaves,2
its,2
girls,2
go,2
places,2
god's,2
sing,2
came,2
where,2
former,2
heat,2
we've,2
hill,2
hope.,2
join,2
ring.,2
into,2
brotherhood.,2
boys,2
so,2
his,2
words,2
nation,2
children,2
stone,2
today.,2
sweltering,2
on,2
stand,2
come,2
alabama,2
sons,2
night,1
protestants,1
prosperity.,1
"racists,",1
prodigious,1
red,1
who,1
work,1
"nation,",1
rev.,1
"revealed,",1
right,1
must,1
nation's,1
"nullification,",1
proclamation.,1
"pride,",1
own,1
owners,1
oppression,1
only,1
whose,1
pilgrims',1
old,1
with.,1
"plain,",1
withering,1
poverty,1
ocean,1
oasis,1
pray,1
out,1
pennsylvania.,1
they,1
"ring,",1
true.,1
south,1
speed,1
spiritual:,1
transformed,1
transform,1
together.,1
"straight,",1
struggle,1
sweet,1
together,1
symbolic,1
symphony,1
table,1
tennessee.,1
thank,1
"today,",1
"that,",1
today,1
thee,1
society,1
snowcapped,1
rockies,1
valley,1
village,1
rough,1
sadly,1
"thee,",1
score,1
seared,1
see,1
segregation,1
sense,1
shadow,1
vicious,1
shameful,1
signed,1
sing.,1
vast,1
sisters,1
sit,1
skin,1
slave,1
slopes,1
'tis,1
mountains,1
momentous,1
"country,",1
crippled,1
crooked,1
curvaceous,1
day.,1
daybreak,1
decree,1
despair,1
"died,",1
discords,1
discrimination.,1
dramatize,1
dripping,1
emancipation,1
end,1
even,1
"exalted,",1
exile,1
"faith,",1
fathers,1
finds,1
five,1
flames,1
flesh,1
for,1
four,1
free.,1
corners,1
content,1
condition.,1
become,1
"ago,",1
alleghenies,1
allow,1
"almighty,",1
america,1
american,1
"american,",1
an,1
are,1
back,1
beacon,1
beautiful,1
been,1
colorado.,1
brothers.,1
california.,1
capital,1
captivity.,1
cash,1
"catholics,",1
chains,1
character.,1
check.,1
"children,",1
"city,",1
color,1
"gentiles,",1
"georgia,",1
georgia.,1
"low,",1
later,1
"liberty,",1
life,1
light,1
lips,1
100,1
live,1
lives,1
lonely,1
long,1
lookout,1
lord,1
luther,1
land.,1
manacles,1
martin,1
material,1
meaning:,1
men,1
"men,",1
midst,1
mighty,1
millions,1
"mississippi,",1
mississippi.,1
molehill,1
languished,1
knowing,1
glory,1
himself,1
god,1
governor,1
had,1
"hamlet,",1
hampshire.,1
"happens,",1
having,1
heightening,1
here,1
hew,1
hills,1
hilltops,1
hope,1
king,1
if,1
"injustice,",1
injustice.,1
interposition,1
island,1
jail,1
jangling,1
jews,1
joyous,1
jr.:,1
judged,1
justice.,1
york.,1
